system,precision,recall,f1,false_alarm_rate,miss_rate
CRNN raw,0.9860175083361037,0.9655046559343434,0.9756532747217694,0.07341973023009786,0.03449534406565657
CRNN + post,0.9869910864851843,0.9699337121212122,0.9783880597014926,0.06855329277968791,0.03006628787878788
Silero calibrated,0.9764529404217943,0.9760002367424242,0.9762265360992575,0.12620999735519703,0.023999763257575756
Silero matched-FA,0.9831950520440489,0.9643702651515151,0.9736916802366404,0.0883893149960328,0.03562973484848485
Energy,0.9448582578894194,0.9409623579545454,0.942906283669576,0.29447236180904524,0.059037642045454544
