system,threshold,precision,recall,f1,accuracy,auroc,auprc,false_alarm_rate,miss_rate,der
CRNN raw,0.24633322656154633,0.9860175083361037,0.9655046559343434,0.9756532747217695,0.959386769315187,0.9839300338685887,0.9965064859934837,0.07341973023009786,0.03449534406565657,0.011508222463620545
CRNN + postprocess,0.24633322656154633,0.9869910864851843,0.9699337121212122,0.9783880597014926,0.9638845702978858,0.9839300338685887,0.9965064859934837,0.06855329277968791,0.03006628787878788,0.006356410725233393
Energy,-6.086459159851074,0.9448582578894194,0.9409623579545454,0.9429062836695761,0.9039582311420756,0.8285689189171702,0.9391119069569528,0.29447236180904524,0.059037642045454544,0.07074867978101865
Silero,nan,0.9636198141228323,0.9920789930555556,0.9776423356954692,0.9617562208495107,nan,nan,0.20084633694789739,0.007921006944444444,0.007625541800659485
