stage,precision,recall,f1,accuracy,false_alarm_rate,miss_rate,der
raw,0.9860175083361037,0.9655046559343434,0.9756532747217695,0.959386769315187,0.07341973023009786,0.03449534406565657,0.011508222463620545
+median,0.9871845207534253,0.9672900883838383,0.9771360526932026,0.9618476733648706,0.06733668341708543,0.032709911616161616,0.008744098002731796
+min_speech,0.987421066943289,0.96713226010101,0.9771713617947964,0.9619141842851323,0.06606717799523935,0.032867739898989896,0.00862578917366656
+merge_silence,0.9869910864851843,0.9699337121212122,0.9783880597014926,0.9638845702978858,0.06855329277968791,0.03006628787878788,0.006356410725233393
+hangover,0.9869910864851843,0.9699337121212122,0.9783880597014926,0.9638845702978858,0.06855329277968791,0.03006628787878788,0.006356410725233393
